

          ---- Modelling Progress and Iteration Messages ----


 Description of column-headers and variables:
   ITERFL  = Iterations to solve flow
   ITERSQ  = Sequential transport-chemistry iterations
   MAXITCH = Maximum iterations to solve chemistry
   AVGITCH = Average iterations to solve chemistry
   DELTA-T = Current time step (days)
   Dt limit = Criterion limiting timestep
   Maxitch ID = Grid block: maximum chemical iterations

     STEP   Time(yr)   ITERFL ITERSQ MAXITCH AVGITCH Delta-t(day)  Dt limit       Maxitch ID
 ----------------------------------------------------------------------------------------------------------
      600  0.918833E-02     2     1    230    2.513  0.11737E-01  Flo_Delta_t       0CW 1
      610  0.942458E-02     2     1    238    2.582  0.87615E-02  Flo_Delta_t       0Fs 1
      620  0.981554E-02     2     1    241    2.720  0.21801E-01  Chm_Delta_t       0TO 1
      630  0.101207E-01     2     1    235    2.565  0.16275E-01  Flo_Delta_t       0QB 1
      640  0.105065E-01     2     1    240    2.646  0.12149E-01  Chm_Delta_t       0Mr 1
      650  0.109516E-01     2     1    243    2.128  0.70879E-03  Chm_Delta_t       02t 1
      660  0.110401E-01     2     1    225    2.291  0.17637E-02  Chm_Delta_t       0QX 1
      670  0.113278E-01     2     1    236    2.766  0.14629E-01  Chm_Delta_t       0Aa 1
      680  0.116679E-01     2     1    237    2.661  0.10920E-01  Flo_Delta_t       0Ie 1
      690  0.123380E-01     2     1    245    2.843  0.27173E-01  Chm_Delta_t       0Th 1
      700  0.127507E-01     2     1    238    2.917  0.20285E-01  Flo_Delta_t       0PA 1
      710  0.131082E-01     2     1    240    2.532  0.45428E-02  Chm_Delta_t       00i 1
      720  0.134337E-01     2     1    240    2.619  0.11304E-01  Chm_Delta_t       0D9 1
      727  0.136896E-01     2     1    234    2.508  0.35716E-02  Chm_Delta_t       08d 1
      730  0.137717E-01     2     1    232    2.608  0.85718E-02  Chm_Delta_t       0Kg 1
      740  0.142714E-01     2     1    239    2.685  0.21329E-01  Flo_Delta_t       0BO 1
      750  0.150059E-01     2     1    252    3.440  0.53074E-01  Flo_Delta_t       0cn 1
      760  0.152804E-01     2     1    239    2.519  0.35658E-02  Chm_Delta_t       016 1
      770  0.155459E-01     2     1    238    2.865  0.29576E-01  Flo_Delta_t       0S2 1
      779  0.164275E-01     2     1    257    2.927  0.34218E-01  Chm_Delta_t       0bq 1
      780  0.164837E-01     2     1      9    2.702  0.20531E-01  Chm_Delta_t       0HA 1
      790  0.172174E-01     2     1    245    2.702  0.15326E-01  Chm_Delta_t       0cd 1
      800  0.175401E-01     2     1    235    2.768  0.11441E-01  Chm_Delta_t       0ZB 1
      810  0.179123E-01     2     1    240    2.848  0.85406E-02  Chm_Delta_t       04y 1
      820  0.181369E-01     2     1    231    2.727  0.63755E-02  Chm_Delta_t       0HV 1
      830  0.184030E-01     2     1    235    2.598  0.47593E-02  Chm_Delta_t       0EM 1
      840  0.188301E-01     2     1    246    2.972  0.39475E-01  Flo_Delta_t       0Dc 1
      844  0.191654E-01     2     1    244    3.156  0.56131E-01  Flo_Delta_t       08a 1
      850  0.198573E-01     2     1    252    2.851  0.29098E-01  Chm_Delta_t       0QC 1
      860  0.202175E-01     2     1    242    2.732  0.65165E-02  Chm_Delta_t       0Ja 1
      870  0.209931E-01     2     1    250    3.312  0.54051E-01  Flo_Delta_t       0LD 1
      880  0.219033E-01     2     1    249    2.888  0.33724E-01  Flo_Delta_t       0Ew 1
      890  0.224401E-01     2     1    241    2.851  0.25175E-01  Chm_Delta_t       0A3 1
      900  0.228619E-01     2     1    241    2.753  0.18793E-01  Flo_Delta_t       0Ne 1
      910  0.237444E-01     2     1    251    2.830  0.14029E-01  Chm_Delta_t       0Kt 1
      920  0.244479E-01     2     1    250    2.880  0.34909E-01  Chm_Delta_t       0CS 1
      923  0.246412E-01     2     1    246    2.791  0.77761E-02  Chm_Delta_t       08f 1
      930  0.248364E-01     2     1    234    2.965  0.26874E-01  Flo_Delta_t       0JT 1
      940  0.252595E-01     2     1    242    2.657  0.60184E-02  Chm_Delta_t       0cZ 1
      950  0.260728E-01     2     1    251    3.081  0.49919E-01  Flo_Delta_t       0P1 1
      960  0.266887E-01     2     1    244    2.894  0.37265E-01  Flo_Delta_t       0FT 1
      970  0.272137E-01     2     1    243    2.789  0.83454E-02  Chm_Delta_t       0J2 1
      975  0.273791E-01     2     1    224    2.833  0.13331E-01  Flo_Delta_t       0LH 1
      980  0.276165E-01     2     1    240    2.822  0.11518E-01  Chm_Delta_t       00d 1
      990  0.280919E-01     2     1    243    3.072  0.28661E-01  Flo_Delta_t       0Q2 1
